E_P_longicornis,Omega_P_longicornis,tau_stress_P_longicornis,tau_critical_P_longicornis,E_S_geminata,Omega_S_geminata,tau_stress_S_geminata,tau_critical_S_geminata,E_C_diversa,Omega_C_diversa,tau_stress_C_diversa,tau_critical_C_diversa,E_O_smaragdina,Omega_O_smaragdina,tau_stress_O_smaragdina,tau_critical_O_smaragdina,dominant,run_id,site
0.0,0.0,1.0,0.027907564086374542,0.01,0.006747149455482789,1.0,0.010752688172043012,0.0,0.0,1.0,0.10710944808231992,0.0,0.0,1.0,0.013573444429512162,S_geminata,60,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.013470258735662844,0.02,0.003472222222222222,1.0,0.025019171779141106,0.0,0.0,1.0,0.12017738359201774,0.0,0.0,1.0,0.015140379244450978,S_geminata,61,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.013233399695514698,0.0,0.0005277777777777778,1.0,0.024678871245069282,0.0,0.0,1.0,0.13556985294117646,0.0,0.0,1.0,0.020321954561022947,P_longicornis,62,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.015791320622295005,0.0,0.0,1.0,0.02706797293202707,0.0,0.0,1.0,0.11277831558567279,0.0,0.0,1.0,0.013089683773976154,P_longicornis,63,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.018445988629185093,0.01,0.0031206910373577034,1.0,0.01209120221096269,0.0,0.0,1.0,0.1361043194784026,0.0,0.0,1.0,0.01896850979419787,S_geminata,64,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.013759016831418648,0.01,0.0016771885521885525,1.0,0.01434404774369176,0.0,0.0,1.0,0.1440162271805274,0.0,0.0,1.0,0.02449804268215684,S_geminata,65,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.01721170395869191,0.02,0.019143560665006745,1.0,0.02429233144621719,0.0,0.0,1.0,0.1191919191919192,0.0,0.0,1.0,0.011959234608985025,S_geminata,66,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.021164021164021163,0.02,0.0030416666666666673,1.0,0.01891814811293849,0.0,0.0,1.0,0.22019635343618513,0.0,0.0,1.0,0.02423283000487092,S_geminata,67,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.014891179839633447,0.0,6.944444444444444e-05,1.0,0.020672087782894092,0.0,0.0,1.0,0.16098144823459007,0.0,0.0,1.0,0.015645658880564125,P_longicornis,68,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.017083380472904176,0.01,0.0024027777777777776,1.0,0.016211160760677544,0.0,0.0,1.0,0.1499074645280691,0.0,0.0,1.0,0.017032148179689163,S_geminata,69,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.020473251028806583,0.01,0.0024027777777777776,1.0,0.013499261759122548,0.0,0.0,1.0,0.13356612832824094,0.0,0.0,1.0,0.014713094654242276,S_geminata,70,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.01562841530054645,0.03,0.0033055555555555555,1.0,0.024850703140050088,0.0,0.0,1.0,0.1187689640225401,0.0,0.0,1.0,0.018400726942298953,S_geminata,71,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.022395209580838325,0.02,0.004180555555555555,1.0,0.01873536299765808,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.017694440776442624,S_geminata,72,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.025840359137194787,0.01,0.00225,1.0,0.01687010022824253,0.0,0.0,1.0,0.13944655453065655,0.0,0.0,1.0,0.015063857657460976,S_geminata,73,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.013264274886306215,0.0,0.0006388888888888888,1.0,0.019079903147699757,0.0,0.0,1.0,0.18798955613577023,0.0,0.0,1.0,0.011954992967651195,P_longicornis,74,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.018128430997063703,0.0,0.0013750000000000001,1.0,0.01814718267495488,0.0,0.0,1.0,0.16256410256410256,0.0,0.0,1.0,0.021031704509783405,P_longicornis,75,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.02358695652173913,0.0,0.0,1.0,0.022089797595808074,0.0,0.0,1.0,0.14046822742474915,0.0,0.0,1.0,0.020181987867475503,P_longicornis,76,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.015149749446451463,0.01,0.0009583333333333334,1.0,0.0110803324099723,0.0,0.0,1.0,0.1810344827586207,0.0,0.0,1.0,0.010810232259445574,S_geminata,77,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.015527950310559006,0.02,0.003194444444444444,1.0,0.022995341460997125,0.0,0.0,1.0,0.18742138364779873,0.0,0.0,1.0,0.015761548064918852,S_geminata,78,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.01407665505226481,0.03,0.004611111111111112,1.0,0.015313771685585778,0.0,0.0,1.0,0.15552927261975164,0.0,0.0,1.0,0.022920985947938264,S_geminata,79,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.022733387140166803,0.02,0.0064755291005291005,1.0,0.025004883766360616,0.0,0.0,1.0,0.13280810354530106,0.0,0.0,1.0,0.018897461701889745,S_geminata,80,"Mac Arthur Hiway, Val."
